DATE,Consumption,Festivals/Special_events
01-01-1988,107.5052,6
02-01-1988,105.672,1
03-01-1988,97.4502,1
04-01-1988,92.4714,1
05-01-1988,90.3151,1
06-01-1988,93.0904,1
07-01-1988,97.6202,0
08-01-1988,98.2485,1
09-01-1988,95.5846,1
10-01-1988,91.3154,0
11-01-1988,93.0005,1
12-01-1988,103.7145,2
01-01-1989,108.3057,2
02-01-1989,102.9869,0
03-01-1989,97.2221,1
04-01-1989,92.0329,3
05-01-1989,90.8137,0
06-01-1989,94.9005,2
07-01-1989,100.7655,1
08-01-1989,99.4816,2
09-01-1989,96.0005,3
10-01-1989,92.5322,0
11-01-1989,94.3417,3
12-01-1989,103.1354,2
01-01-1990,108.8152,3
02-01-1990,105.062,3
03-01-1990,100.61,1
04-01-1990,95.1586,1
05-01-1990,93.8734,0
06-01-1990,98.8918,1
07-01-1990,103.8694,0
08-01-1990,105.0669,0
09-01-1990,99.1151,2
10-01-1990,95.3789,0
11-01-1990,97.4643,2
12-01-1990,105.5777,2
01-01-1991,114.8703,3
02-01-1991,111.1622,3
03-01-1991,105.2928,3
04-01-1991,98.2384,0
05-01-1991,96.4065,1
06-01-1991,102.1097,2
07-01-1991,107.9816,1
08-01-1991,110.7655,0
09-01-1991,102.5152,0
10-01-1991,98.2832,1
11-01-1991,100.1078,3
12-01-1991,108.8631,0
01-01-1992,112.9188,2
02-01-1992,111.6822,0
03-01-1992,108.3523,2
04-01-1992,100.1081,0
05-01-1992,98.6892,2
06-01-1992,103.4722,0
07-01-1992,109.0301,1
08-01-1992,110.0448,3
09-01-1992,104.3053,1
10-01-1992,100.8735,3
11-01-1992,104.0706,1
12-01-1992,119.1949,9
01-01-1993,119.3598,8
02-01-1993,112.1726,2
03-01-1993,108.1964,2
04-01-1993,102.2781,1
05-01-1993,100.8218,2
06-01-1993,106.4654,0
07-01-1993,111.614,0
08-01-1993,112.1052,0
09-01-1993,108.061,2
10-01-1993,102.4365,1
11-01-1993,103.5665,0
12-01-1993,112.6839,0
01-01-1994,121.0214,5
02-01-1994,112.5573,2
03-01-1994,108.365,3
04-01-1994,102.15,3
05-01-1994,103.8162,1
06-01-1994,109.8448,3
07-01-1994,115.0928,9
08-01-1994,114.1606,0
09-01-1994,108.5743,0
10-01-1994,103.7538,3
11-01-1994,107.5166,3
12-01-1994,114.4894,1
01-01-1995,120.2855,8
02-01-1995,115.1643,8
03-01-1995,109.5275,0
04-01-1995,104.6441,0
05-01-1995,102.1784,1
06-01-1995,106.2078,2
07-01-1995,112.5081,0
08-01-1995,111.5374,1
09-01-1995,107.3541,1
10-01-1995,104.0286,0
11-01-1995,108.4992,2
12-01-1995,119.5159,9
01-01-1996,122.9464,8
02-01-1996,119.5561,6
03-01-1996,114.4747,3
04-01-1996,106.0578,1
05-01-1996,102.6762,1
06-01-1996,109.3297,2
07-01-1996,117.1048,9
08-01-1996,117.0605,5
09-01-1996,109.6031,2
10-01-1996,104.681,3
11-01-1996,109.4292,2
12-01-1996,119.2284,8
01-01-1997,129.1386,9
02-01-1997,122.1607,8
03-01-1997,114.2456,0
04-01-1997,105.9749,3
05-01-1997,104.3844,3
06-01-1997,112.9831,4
07-01-1997,118.277,6
08-01-1997,116.8872,7
09-01-1997,110.6826,0
10-01-1997,106.2661,3
11-01-1997,110.2458,0
12-01-1997,119.8147,8
01-01-1998,127.4532,9
02-01-1998,122.4033,6
03-01-1998,116.2661,7
04-01-1998,108.8167,1
05-01-1998,108.2682,3
06-01-1998,113.3026,2
07-01-1998,120.9841,6
08-01-1998,124.5467,8
09-01-1998,113.5035,0
10-01-1998,108.7066,1
11-01-1998,114.6543,2
12-01-1998,125.8251,5
01-01-1999,133.9732,6
02-01-1999,127.8883,9
03-01-1999,121.9356,6
04-01-1999,112.2214,2
05-01-1999,111.6826,0
06-01-1999,116.9306,5
07-01-1999,120.9606,6
08-01-1999,121.5562,9
09-01-1999,114.1919,2
10-01-1999,109.6891,3
11-01-1999,116.074,8
12-01-1999,125.4855,6
01-01-2000,133.4613,5
02-01-2000,124.7795,6
03-01-2000,118.0125,9
04-01-2000,111.1476,3
05-01-2000,108.8471,1
06-01-2000,114.7645,1
07-01-2000,123.4519,9
08-01-2000,122.7828,7
09-01-2000,116.9386,6
10-01-2000,112.5027,2
11-01-2000,117.0448,6
12-01-2000,127.101,6
01-01-2001,129.792,7
02-01-2001,122.82,8
03-01-2001,121.5549,9
04-01-2001,111.7521,3
05-01-2001,113.0303,1
06-01-2001,121.4579,5
07-01-2001,128.8379,7
08-01-2001,128.531,6
09-01-2001,122.5414,7
10-01-2001,115.0924,6
11-01-2001,116.4349,8
12-01-2001,126.6841,7
01-01-2002,137.1348,6
02-01-2002,126.1829,5
03-01-2002,125.7381,9
04-01-2002,115.5176,9
05-01-2002,114.3887,2
06-01-2002,122.8431,3
07-01-2002,132.4903,8
08-01-2002,131.4157,8
09-01-2002,122.2248,5
10-01-2002,115.6409,5
11-01-2002,117.2025,7
12-01-2002,129.5113,8
01-01-2003,137.2301,5
02-01-2003,129.2989,3
03-01-2003,123.0927,6
04-01-2003,116.4425,8
05-01-2003,119.4552,5
06-01-2003,126.0406,6
07-01-2003,130.9957,5
08-01-2003,134.3704,8
09-01-2003,125.9178,9
10-01-2003,118.1408,9
11-01-2003,123.041,7
12-01-2003,137.4558,9
01-01-2004,144.1081,9
02-01-2004,132.1717,6
03-01-2004,127.8283,7
04-01-2004,117.915,8
05-01-2004,117.5465,7
06-01-2004,125.3955,7
07-01-2004,131.074,5
08-01-2004,134.5534,8
09-01-2004,123.281,8
10-01-2004,117.686,5
11-01-2004,117.9319,6
12-01-2004,128.0381,6
01-01-2005,137.9955,7
02-01-2005,130.2075,8
03-01-2005,128.2556,5
04-01-2005,120.795,9
05-01-2005,120.2351,5
06-01-2005,128.1896,8
07-01-2005,137.393,5
08-01-2005,136.6293,9
09-01-2005,128.3089,6
10-01-2005,121.9002,5
11-01-2005,123.5749,6
12-01-2005,135.8003,9
01-01-2006,145.1807,7
02-01-2006,138.8413,9
03-01-2006,129.5532,8
04-01-2006,120.062,5
05-01-2006,120.4653,5
06-01-2006,126.0761,8
07-01-2006,137.22,5
08-01-2006,139.4682,9
09-01-2006,127.9135,7
10-01-2006,121.5047,6
11-01-2006,123.5735,8
12-01-2006,138.5428,6
01-01-2007,148.7226,5
02-01-2007,141.159,8
03-01-2007,130.4029,7
04-01-2007,121.7233,5
05-01-2007,124.0302,8
06-01-2007,130.5045,7
07-01-2007,136.7948,9
08-01-2007,135.2025,8
09-01-2007,129.024,5
10-01-2007,122.5262,5
11-01-2007,124.6144,8
12-01-2007,140.7263,9
01-01-2008,146.1614,9
02-01-2008,136.7795,9
03-01-2008,133.9565,6
04-01-2008,121.4776,8
05-01-2008,122.2234,6
06-01-2008,134.5076,5
07-01-2008,143.3501,6
08-01-2008,144.4862,9
09-01-2008,134.1155,6
10-01-2008,124.7567,7
11-01-2008,125.4587,6
12-01-2008,143.2257,5
01-01-2009,139.4724,7
02-01-2009,136.5196,8
03-01-2009,133.4017,9
04-01-2009,122.5093,8
05-01-2009,125.0222,8
06-01-2009,135.5244,8
07-01-2009,145.9503,5
08-01-2009,146.5192,7
09-01-2009,130.7632,6
10-01-2009,125.3738,6
11-01-2009,127.3566,7
12-01-2009,138.066,8
01-01-2010,147.0576,7
02-01-2010,146.8399,5
03-01-2010,134.1925,7
04-01-2010,125.8177,7
05-01-2010,127.0587,5
06-01-2010,135.9676,9
07-01-2010,142.5686,5
08-01-2010,149.1036,6
09-01-2010,136.5316,8
10-01-2010,128.0068,7
11-01-2010,128.9126,5
12-01-2010,141.7528,9
01-01-2011,149.8331,6
02-01-2011,143.2353,6
03-01-2011,135.4386,8
04-01-2011,125.9944,6
05-01-2011,126.2348,7
06-01-2011,138.9581,5
07-01-2011,145.7631,7
08-01-2011,142.5665,9
09-01-2011,132.7183,8
10-01-2011,125.9979,5
11-01-2011,128.8057,5
12-01-2011,144.4221,7
01-01-2012,151.8316,7
02-01-2012,139.4202,7
03-01-2012,132.8529,8
04-01-2012,123.1973,6
05-01-2012,122.5366,5
06-01-2012,132.2387,6
07-01-2012,138.9086,8
08-01-2012,140.7486,7
09-01-2012,129.8823,8
10-01-2012,124.2977,7
11-01-2012,124.3585,8
12-01-2012,145.6844,9
01-01-2013,154.0166,6
02-01-2013,145.533,8
03-01-2013,133.2672,5
04-01-2013,121.3,8
05-01-2013,125.8364,7
06-01-2013,139.3538,6
07-01-2013,147.8066,7
08-01-2013,147.9014,5
09-01-2013,135.1209,5
10-01-2013,123.9251,6
11-01-2013,127.775,5
12-01-2013,149.3266,5
01-01-2014,154.488,8
02-01-2014,142.3753,8
03-01-2014,134.1028,5
04-01-2014,124.3583,8
05-01-2014,125.0698,7
06-01-2014,137.8204,5
07-01-2014,149.7068,9
08-01-2014,148.5958,8
09-01-2014,134.4712,5
10-01-2014,125.3566,5
11-01-2014,128.8095,7
12-01-2014,142.3312,8
01-01-2015,146.9646,7
02-01-2015,138.3679,5
03-01-2015,128.5772,8
04-01-2015,122.5566,5
05-01-2015,127.7603,9
06-01-2015,136.14,6
07-01-2015,148.0357,8
08-01-2015,144.8601,6
09-01-2015,131.7431,6
10-01-2015,125.3805,9
11-01-2015,129.3417,7
12-01-2015,140.2722,6
01-01-2016,150.501,8
02-01-2016,141.734,8
03-01-2016,137.9948,9
04-01-2016,126.0092,5
05-01-2016,125.9634,6
06-01-2016,135.6957,8
07-01-2016,145.148,7
08-01-2016,143.1756,8
09-01-2016,134.2809,8
10-01-2016,126.7871,6
11-01-2016,132.2853,6
12-01-2016,148.4732,9
01-01-2017,159.2549,8
02-01-2017,147.8811,6
03-01-2017,139.7631,5
04-01-2017,125.2867,7
05-01-2017,127.134,8
06-01-2017,136.878,8
07-01-2017,143.5497,9
08-01-2017,143.194,9
09-01-2017,135.4172,4
10-01-2017,127.3837,9
11-01-2017,134.7033,6
12-01-2017,144.3477,9
01-01-2018,155.2696,8
02-01-2018,151.3788,6
03-01-2018,139.4706,6
04-01-2018,124.7461,7
05-01-2018,126.093,9
06-01-2018,137.6495,7
07-01-2018,146.6354,5
08-01-2018,145.5925,6
09-01-2018,136.9204,7
10-01-2018,126.5959,7
11-01-2018,128.0628,6
12-01-2018,138.2203,6
01-01-2019,152.0837,8
02-01-2019,141.6688,6
03-01-2019,130.3548,9
04-01-2019,124.3254,7
05-01-2019,125.7369,8
06-01-2019,139.0375,8
07-01-2019,149.5397,7
08-01-2019,150.5159,8
09-01-2019,137.7637,5
10-01-2019,126.4867,6
11-01-2019,127.89,8
12-01-2019,147.7694,5
01-01-2020,149.8505,6
02-01-2020,134.4901,8
03-01-2020,136.0396,6
04-01-2020,123.353,5
05-01-2020,127.0805,7
06-01-2020,137.1532,7
07-01-2020,147.1538,5
08-01-2020,143.9312,6
09-01-2020,133.6154,8
