Datetime,Consumption,Festivals/Special_events,Power_Consumption_diff
1988-01-01,107.5052,6,
1988-02-01,105.672,1,-1.833200000000005
1988-03-01,97.4502,1,-8.221800000000002
1988-04-01,92.4714,1,-4.978799999999993
1988-05-01,90.3151,1,-2.1563000000000017
1988-06-01,93.0904,1,2.7753000000000014
1988-07-01,97.6202,0,4.5297999999999945
1988-08-01,98.2485,1,0.6283000000000101
1988-09-01,95.5846,1,-2.6639000000000124
1988-10-01,91.3154,0,-4.269199999999998
1988-11-01,93.0005,1,1.6851000000000056
1988-12-01,103.7145,2,10.713999999999999
1989-01-01,108.3057,2,4.591200000000001
1989-02-01,102.9869,0,-5.318799999999996
1989-03-01,97.2221,1,-5.764800000000008
1989-04-01,92.0329,3,-5.1892
1989-05-01,90.8137,0,-1.2192000000000007
1989-06-01,94.9005,2,4.086799999999997
1989-07-01,100.7655,1,5.865000000000009
1989-08-01,99.4816,2,-1.2839000000000027
1989-09-01,96.0005,3,-3.481099999999998
1989-10-01,92.5322,0,-3.4682999999999993
1989-11-01,94.3417,3,1.8094999999999999
1989-12-01,103.1354,2,8.793700000000001
1990-01-01,108.8152,3,5.6798
1990-02-01,105.062,3,-3.7532000000000068
1990-03-01,100.61,1,-4.451999999999998
1990-04-01,95.1586,1,-5.4513999999999925
1990-05-01,93.8734,0,-1.2852000000000032
1990-06-01,98.8918,1,5.0184
1990-07-01,103.8694,0,4.977599999999995
1990-08-01,105.0669,0,1.1975000000000051
1990-09-01,99.1151,2,-5.951800000000006
1990-10-01,95.3789,0,-3.7361999999999966
1990-11-01,97.4643,2,2.085399999999993
1990-12-01,105.5777,2,8.113399999999999
1991-01-01,114.8703,3,9.292600000000007
1991-02-01,111.1622,3,-3.7081000000000017
1991-03-01,105.2928,3,-5.869399999999999
1991-04-01,98.2384,0,-7.054400000000001
1991-05-01,96.4065,1,-1.8319000000000045
1991-06-01,102.1097,2,5.70320000000001
1991-07-01,107.9816,1,5.871899999999997
1991-08-01,110.7655,0,2.7839000000000027
1991-09-01,102.5152,0,-8.25030000000001
1991-10-01,98.2832,1,-4.231999999999999
1991-11-01,100.1078,3,1.8246000000000038
1991-12-01,108.8631,0,8.755300000000005
1992-01-01,112.9188,2,4.055700000000002
1992-02-01,111.6822,0,-1.23660000000001
1992-03-01,108.3523,2,-3.329899999999995
1992-04-01,100.1081,0,-8.244200000000006
1992-05-01,98.6892,2,-1.4188999999999936
1992-06-01,103.4722,0,4.783000000000001
1992-07-01,109.0301,1,5.557900000000004
1992-08-01,110.0448,3,1.0146999999999906
1992-09-01,104.3053,1,-5.7394999999999925
1992-10-01,100.8735,3,-3.4317999999999955
1992-11-01,104.0706,1,3.197099999999992
1992-12-01,119.1949,9,15.124300000000005
1993-01-01,119.3598,8,0.16490000000000293
1993-02-01,112.1726,2,-7.187200000000004
1993-03-01,108.1964,2,-3.9762000000000057
1993-04-01,102.2781,1,-5.918300000000002
1993-05-01,100.8218,2,-1.4562999999999988
1993-06-01,106.4654,0,5.643600000000006
1993-07-01,111.614,0,5.148600000000002
1993-08-01,112.1052,0,0.4911999999999921
1993-09-01,108.061,2,-4.044199999999989
1993-10-01,102.4365,1,-5.624500000000012
1993-11-01,103.5665,0,1.1300000000000097
1993-12-01,112.6839,0,9.11739999999999
1994-01-01,121.0214,5,8.337500000000006
1994-02-01,112.5573,2,-8.464100000000002
1994-03-01,108.365,3,-4.192300000000003
1994-04-01,102.15,3,-6.214999999999989
1994-05-01,103.8162,1,1.6661999999999892
1994-06-01,109.8448,3,6.0286000000000115
1994-07-01,115.0928,9,5.2479999999999905
1994-08-01,114.1606,0,-0.9321999999999946
1994-09-01,108.5743,0,-5.5863000000000085
1994-10-01,103.7538,3,-4.820499999999996
1994-11-01,107.5166,3,3.7627999999999986
1994-12-01,114.4894,1,6.9728000000000065
1995-01-01,120.2855,8,5.796099999999996
1995-02-01,115.1643,8,-5.121200000000002
1995-03-01,109.5275,0,-5.636799999999994
1995-04-01,104.6441,0,-4.883400000000009
1995-05-01,102.1784,1,-2.4656999999999982
1995-06-01,106.2078,2,4.02940000000001
1995-07-01,112.5081,0,6.300299999999993
1995-08-01,111.5374,1,-0.9706999999999937
1995-09-01,107.3541,1,-4.183300000000003
1995-10-01,104.0286,0,-3.3255000000000052
1995-11-01,108.4992,2,4.470600000000005
1995-12-01,119.5159,9,11.0167
1996-01-01,122.9464,8,3.430499999999995
1996-02-01,119.5561,6,-3.3902999999999963
1996-03-01,114.4747,3,-5.081400000000002
1996-04-01,106.0578,1,-8.416899999999998
1996-05-01,102.6762,1,-3.381600000000006
1996-06-01,109.3297,2,6.653500000000008
1996-07-01,117.1048,9,7.775099999999995
1996-08-01,117.0605,5,-0.04429999999999268
1996-09-01,109.6031,2,-7.457400000000007
1996-10-01,104.681,3,-4.9221
1996-11-01,109.4292,2,4.748199999999997
1996-12-01,119.2284,8,9.799199999999999
1997-01-01,129.1386,9,9.910200000000003
1997-02-01,122.1607,8,-6.977899999999991
1997-03-01,114.2456,0,-7.91510000000001
1997-04-01,105.9749,3,-8.27069999999999
1997-05-01,104.3844,3,-1.5905000000000058
1997-06-01,112.9831,4,8.598699999999994
1997-07-01,118.277,6,5.293900000000008
1997-08-01,116.8872,7,-1.389799999999994
1997-09-01,110.6826,0,-6.204600000000013
1997-10-01,106.2661,3,-4.416499999999999
1997-11-01,110.2458,0,3.9797000000000082
1997-12-01,119.8147,8,9.5689
1998-01-01,127.4532,9,7.638499999999993
1998-02-01,122.4033,6,-5.049899999999994
1998-03-01,116.2661,7,-6.137200000000007
1998-04-01,108.8167,1,-7.449399999999997
1998-05-01,108.2682,3,-0.5485000000000042
1998-06-01,113.3026,2,5.034400000000005
1998-07-01,120.9841,6,7.6815
1998-08-01,124.5467,8,3.5626000000000033
1998-09-01,113.5035,0,-11.043199999999999
1998-10-01,108.7066,1,-4.796900000000008
1998-11-01,114.6543,2,5.947700000000012
1998-12-01,125.8251,5,11.1708
1999-01-01,133.9732,6,8.148099999999985
1999-02-01,127.8883,9,-6.08489999999999
1999-03-01,121.9356,6,-5.952700000000007
1999-04-01,112.2214,2,-9.714199999999991
1999-05-01,111.6826,0,-0.538800000000009
1999-06-01,116.9306,5,5.248000000000005
1999-07-01,120.9606,6,4.030000000000001
1999-08-01,121.5562,9,0.5956000000000046
1999-09-01,114.1919,2,-7.3643
1999-10-01,109.6891,3,-4.502800000000008
1999-11-01,116.074,8,6.384900000000002
1999-12-01,125.4855,6,9.411500000000004
2000-01-01,133.4613,5,7.9757999999999925
2000-02-01,124.7795,6,-8.681799999999996
2000-03-01,118.0125,9,-6.766999999999996
2000-04-01,111.1476,3,-6.864900000000006
2000-05-01,108.8471,1,-2.3004999999999995
2000-06-01,114.7645,1,5.917400000000001
2000-07-01,123.4519,9,8.687399999999997
2000-08-01,122.7828,7,-0.6691000000000003
2000-09-01,116.9386,6,-5.844200000000001
2000-10-01,112.5027,2,-4.4358999999999895
2000-11-01,117.0448,6,4.542099999999991
2000-12-01,127.101,6,10.056200000000004
2001-01-01,129.792,7,2.6910000000000025
2001-02-01,122.82,8,-6.972000000000008
2001-03-01,121.5549,9,-1.2650999999999897
2001-04-01,111.7521,3,-9.802800000000005
2001-05-01,113.0303,1,1.2781999999999982
2001-06-01,121.4579,5,8.427599999999998
2001-07-01,128.8379,7,7.3799999999999955
2001-08-01,128.531,6,-0.30689999999998463
2001-09-01,122.5414,7,-5.98960000000001
2001-10-01,115.0924,6,-7.448999999999998
2001-11-01,116.4349,8,1.3425000000000011
2001-12-01,126.6841,7,10.249200000000002
2002-01-01,137.1348,6,10.450700000000012
2002-02-01,126.1829,5,-10.951900000000009
2002-03-01,125.7381,9,-0.44480000000000075
2002-04-01,115.5176,9,-10.220500000000001
2002-05-01,114.3887,2,-1.1289000000000016
2002-06-01,122.8431,3,8.454400000000007
2002-07-01,132.4903,8,9.647199999999984
2002-08-01,131.4157,8,-1.0746000000000038
2002-09-01,122.2248,5,-9.190899999999985
2002-10-01,115.6409,5,-6.5839
2002-11-01,117.2025,7,1.5615999999999985
2002-12-01,129.5113,8,12.308800000000005
2003-01-01,137.2301,5,7.7187999999999874
2003-02-01,129.2989,3,-7.93119999999999
2003-03-01,123.0927,6,-6.20620000000001
2003-04-01,116.4425,8,-6.650199999999998
2003-05-01,119.4552,5,3.0127000000000095
2003-06-01,126.0406,6,6.585399999999993
2003-07-01,130.9957,5,4.955100000000002
2003-08-01,134.3704,8,3.37469999999999
2003-09-01,125.9178,9,-8.45259999999999
2003-10-01,118.1408,9,-7.777000000000001
2003-11-01,123.041,7,4.900199999999998
2003-12-01,137.4558,9,14.414800000000014
2004-01-01,144.1081,9,6.652299999999997
2004-02-01,132.1717,6,-11.93640000000002
2004-03-01,127.8283,7,-4.343399999999988
2004-04-01,117.915,8,-9.913299999999992
2004-05-01,117.5465,7,-0.3685000000000116
2004-06-01,125.3955,7,7.849000000000004
2004-07-01,131.074,5,5.678500000000014
2004-08-01,134.5534,8,3.4793999999999983
2004-09-01,123.281,8,-11.272400000000005
2004-10-01,117.686,5,-5.594999999999999
2004-11-01,117.9319,6,0.2458999999999918
2004-12-01,128.0381,6,10.106199999999987
2005-01-01,137.9955,7,9.957400000000007
2005-02-01,130.2075,8,-7.7879999999999825
2005-03-01,128.2556,5,-1.9519000000000233
2005-04-01,120.795,9,-7.460599999999985
2005-05-01,120.2351,5,-0.559899999999999
2005-06-01,128.1896,8,7.95450000000001
2005-07-01,137.393,5,9.203399999999988
2005-08-01,136.6293,9,-0.7637
2005-09-01,128.3089,6,-8.320400000000006
2005-10-01,121.9002,5,-6.408699999999996
2005-11-01,123.5749,6,1.6747000000000014
2005-12-01,135.8003,9,12.225399999999993
2006-01-01,145.1807,7,9.380400000000009
2006-02-01,138.8413,9,-6.339400000000012
2006-03-01,129.5532,8,-9.288099999999986
2006-04-01,120.062,5,-9.491200000000006
2006-05-01,120.4653,5,0.40330000000000155
2006-06-01,126.0761,8,5.610799999999998
2006-07-01,137.22,5,11.143900000000002
2006-08-01,139.4682,9,2.248199999999997
2006-09-01,127.9135,7,-11.554699999999997
2006-10-01,121.5047,6,-6.408799999999999
2006-11-01,123.5735,8,2.068799999999996
2006-12-01,138.5428,6,14.969300000000004
2007-01-01,148.7226,5,10.1798
2007-02-01,141.159,8,-7.563600000000008
2007-03-01,130.4029,7,-10.756100000000004
2007-04-01,121.7233,5,-8.679599999999994
2007-05-01,124.0302,8,2.306899999999999
2007-06-01,130.5045,7,6.474300000000014
2007-07-01,136.7948,9,6.290300000000002
2007-08-01,135.2025,8,-1.592300000000023
2007-09-01,129.024,5,-6.1784999999999854
2007-10-01,122.5262,5,-6.497799999999998
2007-11-01,124.6144,8,2.0882000000000005
2007-12-01,140.7263,9,16.111900000000006
2008-01-01,146.1614,9,5.435099999999977
2008-02-01,136.7795,9,-9.381899999999973
2008-03-01,133.9565,6,-2.8230000000000075
2008-04-01,121.4776,8,-12.47890000000001
2008-05-01,122.2234,6,0.7458000000000027
2008-06-01,134.5076,5,12.284199999999998
2008-07-01,143.3501,6,8.842500000000001
2008-08-01,144.4862,9,1.136099999999999
2008-09-01,134.1155,6,-10.3707
2008-10-01,124.7567,7,-9.358800000000002
2008-11-01,125.4587,6,0.7019999999999982
2008-12-01,143.2257,5,17.766999999999996
2009-01-01,139.4724,7,-3.753299999999996
2009-02-01,136.5196,8,-2.9527999999999963
2009-03-01,133.4017,9,-3.1178999999999917
2009-04-01,122.5093,8,-10.89240000000001
2009-05-01,125.0222,8,2.512900000000002
2009-06-01,135.5244,8,10.502200000000016
2009-07-01,145.9503,5,10.425899999999984
2009-08-01,146.5192,7,0.5689000000000135
2009-09-01,130.7632,6,-15.756
2009-10-01,125.3738,6,-5.389400000000009
2009-11-01,127.3566,7,1.9827999999999975
2009-12-01,138.066,8,10.709400000000002
2010-01-01,147.0576,7,8.991600000000005
2010-02-01,146.8399,5,-0.21770000000000778
2010-03-01,134.1925,7,-12.647400000000005
2010-04-01,125.8177,7,-8.374799999999993
2010-05-01,127.0587,5,1.2409999999999997
2010-06-01,135.9676,9,8.908900000000003
2010-07-01,142.5686,5,6.600999999999999
2010-08-01,149.1036,6,6.534999999999997
2010-09-01,136.5316,8,-12.572000000000003
2010-10-01,128.0068,7,-8.524799999999999
2010-11-01,128.9126,5,0.9057999999999993
2010-12-01,141.7528,9,12.84020000000001
2011-01-01,149.8331,6,8.080299999999994
2011-02-01,143.2353,6,-6.5978000000000065
2011-03-01,135.4386,8,-7.796699999999987
2011-04-01,125.9944,6,-9.44420000000001
2011-05-01,126.2348,7,0.24040000000000816
2011-06-01,138.9581,5,12.723299999999995
2011-07-01,145.7631,7,6.805000000000007
2011-08-01,142.5665,9,-3.196600000000018
2011-09-01,132.7183,8,-9.848199999999991
2011-10-01,125.9979,5,-6.720399999999998
2011-11-01,128.8057,5,2.8078000000000003
2011-12-01,144.4221,7,15.616399999999999
2012-01-01,151.8316,7,7.409500000000008
2012-02-01,139.4202,7,-12.411400000000015
2012-03-01,132.8529,8,-6.567299999999989
2012-04-01,123.1973,6,-9.655600000000007
2012-05-01,122.5366,5,-0.6606999999999914
2012-06-01,132.2387,6,9.702099999999987
2012-07-01,138.9086,8,6.669900000000013
2012-08-01,140.7486,7,1.8400000000000034
2012-09-01,129.8823,8,-10.866300000000024
2012-10-01,124.2977,7,-5.5845999999999805
2012-11-01,124.3585,8,0.06080000000000041
2012-12-01,145.6844,9,21.325900000000004
2013-01-01,154.0166,6,8.3322
2013-02-01,145.533,8,-8.483600000000024
2013-03-01,133.2672,5,-12.265799999999984
2013-04-01,121.3,8,-11.967200000000005
2013-05-01,125.8364,7,4.5364
2013-06-01,139.3538,6,13.51740000000001
2013-07-01,147.8066,7,8.452799999999996
2013-08-01,147.9014,5,0.09479999999999222
2013-09-01,135.1209,5,-12.78049999999999
2013-10-01,123.9251,6,-11.195800000000006
2013-11-01,127.775,5,3.849900000000005
2013-12-01,149.3266,5,21.551600000000008
2014-01-01,154.488,8,5.161399999999986
2014-02-01,142.3753,8,-12.11269999999999
2014-03-01,134.1028,5,-8.272500000000008
2014-04-01,124.3583,8,-9.744500000000002
2014-05-01,125.0698,7,0.7115000000000009
2014-06-01,137.8204,5,12.750600000000006
2014-07-01,149.7068,9,11.88639999999998
2014-08-01,148.5958,8,-1.11099999999999
2014-09-01,134.4712,5,-14.124599999999987
2014-10-01,125.3566,5,-9.11460000000001
2014-11-01,128.8095,7,3.452900000000014
2014-12-01,142.3312,8,13.521699999999981
2015-01-01,146.9646,7,4.633399999999995
2015-02-01,138.3679,5,-8.596699999999998
2015-03-01,128.5772,8,-9.790699999999987
2015-04-01,122.5566,5,-6.020600000000002
2015-05-01,127.7603,9,5.203699999999998
2015-06-01,136.14,6,8.379699999999985
2015-07-01,148.0357,8,11.895700000000005
2015-08-01,144.8601,6,-3.175600000000003
2015-09-01,131.7431,6,-13.11699999999999
2015-10-01,125.3805,9,-6.3626000000000005
2015-11-01,129.3417,7,3.961200000000005
2015-12-01,140.2722,6,10.930499999999995
2016-01-01,150.501,8,10.228800000000007
2016-02-01,141.734,8,-8.766999999999996
2016-03-01,137.9948,9,-3.739200000000011
2016-04-01,126.0092,5,-11.985599999999991
2016-05-01,125.9634,6,-0.04580000000001405
2016-06-01,135.6957,8,9.732299999999995
2016-07-01,145.148,7,9.452300000000008
2016-08-01,143.1756,8,-1.9723999999999933
2016-09-01,134.2809,8,-8.8947
2016-10-01,126.7871,6,-7.493800000000007
2016-11-01,132.2853,6,5.498200000000011
2016-12-01,148.4732,9,16.187899999999985
2017-01-01,159.2549,8,10.7817
2017-02-01,147.8811,6,-11.373799999999989
2017-03-01,139.7631,5,-8.117999999999995
2017-04-01,125.2867,7,-14.476400000000012
2017-05-01,127.134,8,1.8473000000000042
2017-06-01,136.878,8,9.743999999999986
2017-07-01,143.5497,9,6.6717000000000155
2017-08-01,143.194,9,-0.355700000000013
2017-09-01,135.4172,4,-7.77679999999998
2017-10-01,127.3837,9,-8.033500000000004
2017-11-01,134.7033,6,7.319600000000008
2017-12-01,144.3477,9,9.64439999999999
2018-01-01,155.2696,8,10.921899999999994
2018-02-01,151.3788,6,-3.8907999999999845
2018-03-01,139.4706,6,-11.908200000000022
2018-04-01,124.7461,7,-14.724499999999992
2018-05-01,126.093,9,1.346900000000005
2018-06-01,137.6495,7,11.556499999999986
